player,pos,fp_id,ecr_2qb,value_2qb
Ja'Tavion Sanders,TE,24334,194.3,109
Elijah Mitchell,RB,22813,195,107
Tank Bigsby,RB,22908,195.6,106
2025 Late 2nd,PICK,NA,180.14484526869,152
Malachi Corley,WR,26023,196.7,103
Aaron Rodgers,QB,9001,119.4,635
2024 Pick 2.12,PICK,NA,180.48,151
Russell Wilson,QB,11180,114.3,716
Juwan Johnson,TE,19562,197.8,101
Daniel Jones,QB,18232,117.9,658
Kenneth Gainwell,RB,23310,202.9,89
Audric Estime,RB,23054,202.3,90
2024 Pick 3.01,PICK,NA,186.8,130
Jaleel McLaughlin,RB,25876,202.8,89
Bucky Irving,RB,25981,202.6,90
Tyler Boyd,WR,15547,202,91
Ja'Lynn Polk,WR,26205,205.7,84
Hunter Henry,TE,15561,206.3,82
Noah Fant,TE,17527,203.7,88
Rondale Moore,WR,19796,206.4,82
2024 Pick 3.02,PICK,NA,192.9625,113
Cedric Tillman,WR,25287,205.9,83
Alec Pierce,WR,23791,206.6,82
Ezekiel Elliott,RB,15498,209.3,77
Gerald Everett,TE,16459,209.5,76
2024 Pick 3.03,PICK,NA,199.0275,98
Michael Thomas,WR,15528,216,66
Trey Palmer,WR,25331,217,64
2025 Early 3rd,PICK,NA,205.45547026869,84
2024 Pick 3.04,PICK,NA,205.05,85
K.J. Osborn,WR,19708,217.6,63
Devontez Walker,WR,26011,217.1,64
Kareem Hunt,RB,16425,218.8,61
Taysom Hill,TE,17115,218.7,62
Jelani Woods,TE,23829,217.6,63
Ray Davis,RB,26191,219.4,61
Jamaal Williams,RB,16424,221.3,58
Noah Brown,WR,16443,222.2,57
2024 Pick 3.05,PICK,NA,210.9875,74
Tyler Higbee,TE,15623,221.1,58
D'Onta Foreman,RB,16407,225.5,52
Israel Abanikanda,RB,24352,225.2,53
2024 Pick 3.06,PICK,NA,216.8075,64
Odell Beckham Jr.,WR,12127,225.3,53
Skyy Moore,WR,23905,227,51
Dawson Knox,TE,18631,226.4,51
Samaje Perine,RB,16423,228.2,49
Sam Howell,QB,23045,138.8,402
DJ Chark Jr.,WR,17292,227.5,50
John Metchie III,WR,22895,230,47
2024 Pick 3.07,PICK,NA,222.4725,56
Rome Odunze,WR,25411,48.9,3328
Andrei Iosivas,WR,25335,231.3,46
Kadarius Toney,WR,20119,230.8,46
Tutu Atwell,WR,20126,234.2,43
Jeff Wilson Jr.,RB,18026,234.6,42
2025 3rd,PICK,NA,228.309428602023,49
2024 Pick 3.08,PICK,NA,227.98,49
Javon Baker,WR,22885,232.1,45
2025 Mid 3rd,PICK,NA,229.05734526869,48
Mike Gesicki,TE,17272,235.3,42
JuJu Smith-Schuster,WR,16427,235.1,42
Luke Schoonmaker,TE,25267,236.2,41
Rico Dowdle,RB,19647,234.5,42
A.T. Perry,WR,24353,236.1,41
2024 Pick 3.09,PICK,NA,233.32,44
Michael Gallup,WR,17259,239.4,38
Michael Penix Jr.,QB,22973,136.2,428
2026 3rd,PICK,NA,237.804898870713,39
Clyde Edwards-Helaire,RB,19325,242.1,36
Darius Slayton,WR,18706,241.8,36
Jerick McKinnon,RB,12209,241.8,36
2024 Pick 3.10,PICK,NA,238.485,39
Cam Akers,RB,19268,244.1,34
Donovan Peoples-Jones,WR,19298,245,33
Evan Hull,RB,25325,243.8,34
Gardner Minshew II,QB,18562,160.7,240
2024 Pick 3.11,PICK,NA,243.5075,34
Will Shipley,RB,22930,245.2,33
Bo Nix,QB,22910,159.8,246
Parker Washington,WR,23106,248.6,30
Michael Carter,RB,22728,249.2,30
Jonnu Smith,TE,16460,248.2,31
Kendrick Bourne,WR,17066,250.2,29
Tyler Scott,WR,25442,250.3,29
2024 Pick 3.12,PICK,NA,248.3675,31
Allen Lazard,WR,17301,250.5,29
Kenny Pickett,QB,22722,168.8,199
2025 Late 3rd,PICK,NA,250.41547026869,29
Logan Thomas,TE,12095,253.8,27
Dalvin Cook,RB,16374,249.6,30
Sean Tucker,RB,23679,251.1,29
2024 Pick 4.01,PICK,NA,253.0625,27
Jalen McMillan,WR,23179,253.1,27
Irv Smith Jr.,TE,18610,253.6,27
Chris Rodriguez Jr.,RB,22986,256.3,25
Emari Demercado,RB,25654,255.2,26
Greg Dortch,WR,18585,256.4,25
2024 Pick 4.02,PICK,NA,257.5875,25
Hunter Renfrow,WR,18345,256.8,25
Deuce Vaughn,RB,22984,258,24
Joshua Kelley,RB,19445,255.9,26
Brenden Rice,WR,26213,255.5,26
Aidan O'Connell,QB,24330,167.6,204
Xavier Hutchinson,WR,25332,258.6,24
Pierre Strong Jr.,RB,24173,259.1,24
2024 Pick 4.03,PICK,NA,261.9725,22
Mac Jones,QB,20156,169.2,197
Rashaad Penny,RB,17308,262,22
